,Unnamed: 0,X,Y,B,G,R,Gx,Gy
34332,4222,59,50,98,103,0,-0.0214106195359553,-0.1308992675592447
35243,5133,21,51,77,62,195,0.05474926718086332,0.07313727383716523
9483,148976,8,96,35,86,113,0.0,0.0
7048,602107,99,15,254,206,0,0.0,0.0
9754,333730,80,82,58,177,0,0.0,0.0
14937,22553,28,9,116,81,102,0.0,0.0
5459,576741,42,93,44,138,0,0.0,0.0
17421,73686,45,82,49,131,38,0.0,0.0
35571,5461,51,38,137,89,4,0.06920142621660752,-0.03451121964800863
37582,7472,24,72,78,78,129,0.04715256350368319,0.015699044804238282
31154,1044,58,64,41,97,104,-0.08000000000000003,0.08000000000000003
32159,2049,54,58,72,60,130,0.0214106195359553,0.1308992675592447
34603,4493,67,31,114,84,77,0.05474926718086332,0.07313727383716523
15342,573578,10,2,83,62,145,0.0,0.0
12102,439959,57,19,213,127,0,0.0,0.0
11008,193546,61,6,239,145,0,0.0,0.0
18032,210977,37,93,47,117,24,0.0,0.0
31904,1794,33,78,56,48,147,0.0,0.1287068006749893
6864,571730,91,54,184,144,0,0.0,0.0
29557,600902,87,10,252,201,0,0.0,0.0
33193,3083,53,35,55,58,136,-0.06157568056677825,0.10335206051617353
19074,583896,14,48,78,74,218,0.0,0.0
14800,543115,1,55,59,68,125,0.0,0.0
20521,319251,33,47,95,91,147,0.0,0.0
9742,591042,87,22,254,192,0,0.0,0.0
17651,240797,38,69,71,94,118,0.0,0.0
31542,1432,45,83,63,59,116,0.032252644421814865,0.048418578457614166
29805,236590,96,62,155,140,0,0.0,0.0
16197,74947,58,43,160,114,35,0.0,0.0
6827,288377,20,89,40,100,105,0.0,0.0
25609,346794,12,74,58,88,183,0.0,0.0
746,9387,95,15,251,200,0,0.0,0.0
1933,148958,8,78,58,70,176,0.0,0.0
17838,266968,4,24,81,71,186,0.0,0.0
29096,552687,98,55,190,146,0,0.0,0.0
29780,118112,96,48,215,152,0,0.0,0.0
17584,112477,38,85,49,104,87,0.0,0.0
3669,130550,22,14,108,77,140,0.0,0.0
1333,379529,45,21,166,110,75,0.0,0.0
28330,358440,30,48,85,86,155,0.0,0.0
34153,4043,81,17,233,163,0,0.014723162687942437,-0.014723162687942437
18668,66881,77,77,74,166,0,0.0,0.0
23107,33007,33,91,48,118,52,0.0,0.0
1776,168013,1,89,45,82,122,0.0,0.0
29955,527357,41,41,120,98,111,0.0,0.0
4629,273755,73,39,215,143,0,0.0,0.0
37870,7760,30,92,26,122,0,-0.06712694158311132,-0.016733781794646463
12562,25734,60,60,106,119,34,0.0,0.0
29244,235053,81,4,254,199,0,0.0,0.0
15287,1191,11,91,39,88,129,0.0,0.0
381,260129,34,62,67,97,134,0.0,0.0
24479,284916,86,28,254,181,0,0.0,0.0
25639,253900,72,28,242,154,0,0.0,0.0
28851,378677,36,37,133,91,113,0.0,0.0
9868,90392,15,44,85,66,226,0.0,0.0
25384,98831,1,11,79,58,164,0.0,0.0
477,99712,9,92,40,90,126,0.0,0.0
13457,458393,42,81,50,123,47,0.0,0.0
15465,172660,48,94,39,156,0,0.0,0.0
9819,585097,26,49,80,82,172,0.0,0.0
23461,533388,3,0,70,59,129,0.0,0.0
29006,229742,26,86,52,102,98,0.0,0.0
20216,383366,83,58,150,132,0,0.0,0.0
37672,7562,40,39,48,58,178,-0.03826297667586875,0.09632405027258556
17652,477500,36,44,104,91,131,0.0,0.0
3824,588227,59,7,233,140,0,0.0,0.0
37488,7378,28,29,63,77,124,-0.1308992675592447,-0.0214106195359553
1586,395271,3,91,42,86,118,0.0,0.0
8198,582089,96,41,237,159,0,0.0,0.0
8039,557809,51,5,203,117,0,0.0,0.0
19127,363863,85,99,0,210,0,0.0,0.0
28895,543072,1,12,78,63,147,0.0,0.0
35784,5674,30,45,64,83,156,-0.06920142621660752,0.03451121964800863
36691,6581,72,19,208,134,0,-0.03014605954138166,0.015067403328270003
35481,5371,55,34,142,100,0,0.04511221032887475,-0.13826517935484947
22768,225065,80,9,254,189,0,0.0,0.0
20516,578118,56,70,78,132,23,0.0,0.0
3569,399782,50,30,168,112,66,0.0,0.0
6537,431421,70,53,145,127,0,0.0,0.0
23179,198200,7,60,63,71,191,0.0,0.0
27676,148181,1,1,71,62,119,0.0,0.0
30441,331,61,37,117,92,61,0.014723162687942437,-0.014723162687942437
20155,56412,71,80,56,163,0,0.0,0.0
11075,370762,56,5,225,131,0,0.0,0.0
18914,102932,42,33,137,102,108,0.0,0.0
19406,100188,14,68,63,81,202,0.0,0.0
29058,114556,60,92,32,195,0,0.0,0.0
30181,71,72,61,140,90,22,0.0927510698353074,-0.01842431943322176
888,600097,79,5,252,190,0,0.0,0.0
8441,257357,6,85,42,87,146,0.0,0.0
16895,412334,77,10,254,185,0,0.0,0.0
7649,82982,40,6,153,96,53,0.0,0.0
36195,6085,52,42,53,89,100,-0.1287068006749893,0.0
6653,332340,66,22,253,155,0,0.0,0.0
22743,112446,38,54,88,96,136,0.0,0.0
17541,198472,10,32,72,64,209,0.0,0.0
36953,6843,51,11,172,101,22,0.09164721253127672,0.0
30624,514,37,77,48,46,156,0.0,0.1287068006749893
2668,500480,70,8,255,174,0,0.0,0.0
21478,260538,39,11,149,99,70,0.0,0.0
7551,123176,47,12,184,113,27,0.0,0.0
33359,3249,65,9,188,118,6,0.03014605954138166,0.015067403328270003
25182,423110,86,14,253,196,0,0.0,0.0
24728,85972,71,24,248,157,0,0.0,0.0
30234,124,77,65,128,105,0,0.0214106195359553,-0.1308992675592447
12417,77517,85,9,255,215,0,0.0,-0.0
3037,330369,45,93,41,137,0,0.0,0.0
3143,395339,4,59,59,70,149,0.0,0.0
32239,2129,61,64,54,110,29,-0.0927510698353074,-0.01842431943322176
3325,403380,86,28,253,178,0,0.0,0.0
33228,3118,57,27,152,93,72,0.0927510698353074,0.01842431943322176
8854,54303,49,43,136,99,100,0.0,0.0
22130,27135,75,19,255,179,0,0.0,0.0
28503,282306,60,18,234,150,0,0.0,0.0
26054,385621,6,13,84,64,169,0.0,0.0
22723,283144,68,56,133,128,0,0.0,0.0
15667,255667,89,95,15,211,0,0.0,0.0
1254,281481,51,48,131,109,87,0.0,0.0
23568,492583,89,83,49,190,0,0.0,0.0
558,415037,4,13,80,63,166,0.0,0.0
7496,78854,98,78,79,173,0,0.0,0.0
21915,319893,39,89,44,126,15,0.0,0.0
10817,154137,61,85,49,168,0,0.0,0.0
33895,3785,86,5,250,191,0,0.04715256350368319,-0.015699044804238282
27390,410265,56,41,97,97,0,0.0,0.0
22707,286499,2,11,78,60,169,0.0,0.0
3682,62471,32,39,104,89,149,0.0,0.0
8086,282121,58,33,191,123,8,0.0,0.0
13961,66621,74,96,7,206,0,0.0,0.0
14947,103526,49,13,193,117,22,0.0,0.0
28200,213988,68,4,255,166,0,0.0,0.0
28651,185156,75,88,32,193,0,0.0,0.0
35341,5231,29,54,81,83,27,0.0,-0.06647615158762404
28512,427587,31,3,123,85,78,0.0,0.0
4333,29461,98,45,225,150,0,0.0,0.0
12930,306727,6,95,41,89,117,0.0,0.0
4601,402057,73,5,254,181,0,0.0,0.0
23981,517056,37,12,143,97,70,0.0,0.0
12813,502404,89,32,254,178,0,0.0,0.0
8268,262718,61,74,71,138,0,0.0,0.0
18220,377570,24,34,102,78,184,0.0,0.0
18630,402256,75,4,254,185,0,0.0,0.0
33711,3601,46,15,88,76,123,-0.016733781794646463,0.06712694158311132
14949,115753,72,89,28,194,0,0.0,0.0
13758,349977,44,57,91,107,111,0.0,0.0
20040,376403,12,67,58,78,198,0.0,0.0
24060,462589,86,5,254,202,0,0.0,0.0
3900,155323,73,71,88,151,0,0.0,0.0
543,320844,49,61,67,112,106,0.0,0.0
36615,6505,56,57,84,116,0,-0.07313727383716523,-0.05474926718086332
19690,440761,65,21,238,146,0,0.0,0.0
37689,7579,42,38,68,72,159,-0.015699044804238282,0.04715256350368319
10819,83775,47,99,27,156,0,0.0,0.0
25531,196621,91,81,56,180,0,0.0,0.0
28642,337422,17,74,60,89,173,0.0,0.0
14236,143960,58,80,60,150,0,0.0,0.0
16919,348806,32,86,52,119,70,0.0,0.0
10607,520795,75,79,62,172,0,0.0,0.0
12455,222098,50,42,143,106,94,0.0,0.0
7084,581592,91,44,222,151,0,0.0,0.0
823,88134,92,86,46,190,0,0.0,0.0
28489,262150,56,6,219,130,0,0.0,0.0
33796,3686,53,15,167,105,0,-0.015699044804238282,-0.04715256350368319
6348,595955,37,63,76,98,125,0.0,0.0
12621,471351,74,95,16,205,0,0.0,0.0
24012,31112,14,96,34,92,96,0.0,0.0
33092,2982,75,17,209,131,0,0.0,0.029910794252010205
17328,239857,29,29,116,84,145,0.0,0.0
31089,979,84,10,255,206,0,0.13826517935484947,-0.04511221032887475
25219,547915,49,55,102,108,94,0.0,0.0
26384,380310,53,2,208,118,0,0.0,0.0
6274,40861,13,73,56,81,189,0.0,0.0
14733,352338,68,50,125,120,0,0.0,0.0
26659,567400,48,24,181,112,6,0.0,0.0
35193,5083,17,51,74,80,140,-0.03088667636830605,-0.03088667636830605
13487,457768,36,56,84,95,136,0.0,0.0
16782,538048,50,88,39,139,0,0.0,0.0
17661,462236,82,52,169,141,0,0.0,0.0
25255,94527,58,2,228,132,0,0.0,0.0
28849,52640,32,80,55,106,99,0.0,0.0
18054,501661,81,89,21,205,0,0.0,0.0
605,81216,22,40,92,78,197,0.0,0.0
36661,6551,70,14,237,151,0,0.05077710678338576,0.05077710678338576
16745,523352,1,36,70,67,151,0.0,0.0
9217,85325,64,32,217,130,0,0.0,0.0
29251,484913,11,85,43,92,141,0.0,0.0
3870,61502,22,70,57,88,163,0.0,0.0
12796,43863,44,45,117,101,115,0.0,0.0
17635,306808,7,76,52,81,174,0.0,0.0
6577,530525,74,37,226,142,0,0.0,0.0
20904,23727,39,83,52,118,65,0.0,0.0
12217,241379,44,51,100,91,123,0.0,0.0
20822,115525,70,61,115,134,0,0.0,0.0
1264,272116,56,79,53,149,0,0.0,0.0
3024,26818,72,2,255,176,0,0.0,0.0
33558,3448,45,44,100,90,1,-0.01842431943322176,-0.0927510698353074
23353,10752,8,80,49,80,167,0.0,0.0
26012,165239,74,15,255,178,0,0.0,0.0
31251,1141,67,58,123,95,0,0.03826297667586875,-0.09632405027258556
26546,375573,4,37,78,70,178,0.0,0.0
28433,130989,26,53,82,82,183,0.0,0.0
30565,455,90,54,144,103,0,0.0927510698353074,-0.01842431943322176
21941,504536,10,64,65,74,199,0.0,0.0
18905,325560,97,84,55,186,0,0.0,0.0
6376,368257,29,93,44,115,52,0.0,0.0
14999,96788,80,68,107,138,0,0.0,0.0
16844,119479,10,15,90,66,187,0.0,0.0
22097,441311,70,71,87,146,0,0.0,0.0
31298,1188,50,78,77,58,112,0.03088667636830605,0.03088667636830605
6959,197777,3,37,69,66,178,0.0,0.0
14248,583629,11,81,49,87,157,0.0,0.0
6932,412158,75,34,237,152,0,0.0,0.0
29789,269488,29,44,90,89,161,0.0,0.0
12838,301138,50,94,38,155,0,0.0,0.0
33675,3565,57,33,133,94,11,0.03451121964800863,-0.06920142621660752
36747,6637,77,15,255,191,0,0.03451121964800863,-0.06920142621660752
29688,475567,17,11,98,76,146,0.0,0.0
30267,157,67,69,64,103,76,-0.05077710678338576,0.05077710678338576
22828,197162,97,22,253,196,0,0.0,0.0
27845,162748,47,96,37,157,0,0.0,0.0
19010,355820,4,28,81,68,182,0.0,0.0
19322,15325,54,53,117,109,79,0.0,0.0
31157,1047,59,57,95,74,111,0.05077710678338576,0.05077710678338576
25132,261098,45,49,71,96,9,-0.0,-0.0
19629,87524,86,76,81,162,0,0.0,0.0
31113,1003,86,12,254,205,0,0.08000000000000003,-0.08000000000000003
15448,271037,44,93,39,148,0,0.0,0.0
30840,730,58,63,94,97,59,-0.015067403328270003,-0.03014605954138166
25750,454287,1,75,50,76,131,0.0,0.0
26335,483376,96,48,215,150,0,0.0,0.0
23224,154843,68,91,24,194,0,0.0,0.0
18663,399921,51,69,78,123,58,0.0,0.0
8583,540030,70,70,88,138,0,0.0,0.0
18518,378046,29,22,120,89,134,0.0,0.0
27086,425205,7,9,78,60,168,0.0,0.0
10239,452857,87,45,217,147,0,0.0,0.0
2193,510437,69,86,44,178,0,0.0,0.0
37888,7778,32,85,59,100,14,0.05077710678338576,-0.05077710678338576
18031,367342,20,78,59,97,147,0.0,0.0
